stationId,timestamp,aqi,pm25,pm10,no2,so2,co
DPCC_WZ_01,2026-06-25T08:30:00.000Z,183,78.5,215.6,33.5,16.1,327
DPCC_WZ_01,2026-03-24T18:30:00.000Z,163,78.9,276.6,24,16.8,795
DPCC_WZ_01,2026-03-24T19:30:00.000Z,164,81,265.4,28.1,18.6,983
DPCC_WZ_01,2026-03-24T20:30:00.000Z,166,85.2,222.1,33.3,21,1256
DPCC_WZ_01,2026-03-24T21:30:00.000Z,163,78.9,194.6,34.4,23,1361
DPCC_WZ_01,2026-03-24T22:30:00.000Z,155,63.3,159.7,27.4,24.5,1127
DPCC_WZ_01,2026-03-24T23:30:00.000Z,122,44.1,124.8,16.4,25.6,725
DPCC_WZ_01,2026-03-25T00:30:00.000Z,111,39.5,148.5,7.9,25.3,417
DPCC_WZ_01,2026-03-25T01:30:00.000Z,110,39.2,181.6,4.7,22.7,316
DPCC_WZ_01,2026-03-25T02:30:00.000Z,113,40.3,217.5,4.1,18.7,309
DPCC_WZ_01,2026-03-25T03:30:00.000Z,119,42.8,257,4.5,15.6,320
DPCC_WZ_01,2026-03-25T04:30:00.000Z,124,44.7,295.2,4.6,14,274
DPCC_WZ_01,2026-03-25T05:30:00.000Z,128,46.6,317.6,5.8,13.3,245
DPCC_WZ_01,2026-03-25T06:30:00.000Z,133,48.5,390.2,11.1,14.5,382
DPCC_WZ_01,2026-03-25T07:30:00.000Z,152,57.5,407.9,21.4,16.9,845
DPCC_WZ_01,2026-03-25T08:30:00.000Z,157,66.8,391.2,35.3,20.1,1474
DPCC_WZ_01,2026-03-25T09:30:00.000Z,160,72.9,385.6,44,22.3,1939
DPCC_WZ_01,2026-03-25T10:30:00.000Z,163,78.2,417.2,42.7,22.5,2128
DPCC_WZ_01,2026-03-25T11:30:00.000Z,166,83.8,470.3,36.2,21.7,2154
DPCC_WZ_01,2026-03-25T12:30:00.000Z,167,86.1,493.6,30.4,20.8,2025
DPCC_WZ_01,2026-03-25T13:30:00.000Z,166,83.6,464.7,27.2,20.1,1651
DPCC_WZ_01,2026-03-25T14:30:00.000Z,162,77.3,384.6,24.6,19.2,1122
DPCC_WZ_01,2026-03-25T15:30:00.000Z,160,73.1,326,22.7,18.8,718
DPCC_WZ_01,2026-03-25T16:30:00.000Z,157,67.5,264.5,21.1,18.8,547
DPCC_WZ_01,2026-03-25T17:30:00.000Z,154,61.9,216.5,20.2,19.2,500
DPCC_WZ_01,2026-03-25T18:30:00.000Z,158,68.9,249.6,20,19.5,530
DPCC_WZ_01,2026-03-25T19:30:00.000Z,162,75.9,265.4,25.3,21.7,683
DPCC_WZ_01,2026-03-25T20:30:00.000Z,166,84.3,242.1,32.2,24.8,911
DPCC_WZ_01,2026-03-25T21:30:00.000Z,163,77.8,214.2,34.7,27.1,1027
DPCC_WZ_01,2026-03-25T22:30:00.000Z,153,58.9,175.6,28.8,28.4,918
DPCC_WZ_01,2026-03-25T23:30:00.000Z,128,46.3,140.2,18.5,28.9,696
DPCC_WZ_01,2026-03-26T00:30:00.000Z,97,34,109.9,10.3,28.1,507
DPCC_WZ_01,2026-03-26T01:30:00.000Z,89,30.3,114.1,6.4,25.1,397
DPCC_WZ_01,2026-03-26T02:30:00.000Z,93,32.2,151.8,4.7,20.7,321
DPCC_WZ_01,2026-03-26T03:30:00.000Z,99,34.9,194.2,4.8,17.5,281
DPCC_WZ_01,2026-03-26T04:30:00.000Z,105,37,228.2,7.1,16.3,289
DPCC_WZ_01,2026-03-26T05:30:00.000Z,113,40.2,245.9,11.3,16.1,334
DPCC_WZ_01,2026-03-26T06:30:00.000Z,106,37.6,214.2,15.7,18,390
DPCC_WZ_01,2026-03-26T07:30:00.000Z,127,46.2,255.2,24.8,20.5,466
DPCC_WZ_01,2026-03-26T08:30:00.000Z,148,54.6,258.9,36.9,23.7,553
DPCC_WZ_01,2026-03-26T09:30:00.000Z,153,60.1,262.6,42.9,25,598
DPCC_WZ_01,2026-03-26T10:30:00.000Z,161,75,469.4,36.6,22.2,562
DPCC_WZ_01,2026-03-26T11:30:00.000Z,171,93.6,640.7,24.3,17.4,484
DPCC_WZ_01,2026-03-26T12:30:00.000Z,170,92.4,596,15,13.9,423
DPCC_WZ_01,2026-03-26T13:30:00.000Z,164,80.3,475.9,13,13,407
DPCC_WZ_01,2026-03-26T14:30:00.000Z,160,72.4,388.4,14.1,13.4,408
DPCC_WZ_01,2026-03-26T15:30:00.000Z,160,72.6,383.7,15.1,14,408
DPCC_WZ_01,2026-03-26T16:30:00.000Z,159,70.1,340.9,14.5,14.2,395
DPCC_WZ_01,2026-03-26T17:30:00.000Z,158,69.2,319.4,13.8,14.6,381
DPCC_WZ_01,2026-03-26T18:30:00.000Z,158,68.2,326.9,7.9,10.2,380
DPCC_WZ_01,2026-03-26T19:30:00.000Z,153,58.9,235.2,10.2,11.7,412
DPCC_WZ_01,2026-03-26T20:30:00.000Z,143,52.4,175.1,13.3,13.7,456
DPCC_WZ_01,2026-03-26T21:30:00.000Z,144,53.1,212.8,14.9,15.7,472
