latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.700005,77.20001,231.0,19800,Asia/Kolkata,GMT+5:30

time,pm10 (μg/m³),us_aqi (USAQI),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),dust (μg/m³),uv_index ()
2026-07-01T10:30,257.0,436,58.8,545.0,18.7,24.8,383.0,2.00

time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),dust (μg/m³),uv_index ()
2025-01-01T00:00,188.6,185.8,1960.0,56.7,49.7,5.0,0.00
2025-01-01T01:00,177.4,174.6,1724.0,44.8,39.7,4.0,0.00
2025-01-01T02:00,166.7,164.4,1539.0,34.6,31.5,4.0,0.00
2025-01-01T03:00,158.8,156.5,1435.0,26.7,26.0,4.0,0.00
2025-01-01T04:00,151.8,149.5,1382.0,20.6,22.3,4.0,0.00
2025-01-01T05:00,158.3,156.5,1370.0,33.3,29.0,3.0,0.00
2025-01-01T06:00,146.2,144.4,1431.0,31.4,27.8,3.0,0.00
2025-01-01T07:00,140.6,138.3,1531.0,28.7,26.1,4.0,0.05
2025-01-01T08:00,138.8,136.4,1559.0,26.0,25.1,4.0,0.25
2025-01-01T09:00,143.0,141.1,1438.0,23.3,25.2,4.0,0.80
2025-01-01T10:00,132.2,129.9,1245.0,20.5,25.9,4.0,2.00
2025-01-01T11:00,125.3,122.5,1092.0,18.2,26.6,4.0,2.90
2025-01-01T12:00,118.3,115.5,1010.0,15.4,27.1,4.0,3.20
2025-01-01T13:00,111.8,108.7,970.0,13.1,27.6,5.0,2.75
2025-01-01T14:00,106.6,103.6,991.0,14.1,28.0,5.0,1.85
2025-01-01T15:00,102.7,99.4,1110.0,21.0,28.2,5.0,0.85
2025-01-01T16:00,102.9,100.4,1291.0,31.3,28.3,4.0,0.20
2025-01-01T17:00,151.8,148.5,1450.0,52.6,36.4,6.0,0.00
2025-01-01T18:00,160.7,157.4,1571.0,55.0,36.8,6.0,0.00
2025-01-01T19:00,165.3,162.1,1670.0,58.0,37.4,5.0,0.00
2025-01-01T20:00,170.4,167.6,1713.0,58.6,37.5,5.0,0.00
2025-01-01T21:00,174.6,171.8,1666.0,55.1,37.2,5.0,0.00
2025-01-01T22:00,178.3,175.1,1562.0,49.2,36.4,5.0,0.00
2025-01-01T23:00,177.0,174.2,1465.0,42.6,35.0,5.0,0.00
2025-01-02T00:00,170.4,167.6,1393.0,35.3,32.1,5.0,0.00
2025-01-02T01:00,165.8,163.0,1328.0,27.3,28.6,5.0,0.00
2025-01-02T02:00,160.7,157.9,1284.0,21.0,26.2,5.0,0.00
2025-01-02T03:00,154.6,151.8,1260.0,17.0,25.8,5.0,0.00
2025-01-02T04:00,149.5,146.7,1257.0,14.6,26.6,5.0,0.00
2025-01-02T05:00,149.9,147.1,1295.0,15.3,28.2,5.0,0.00
2025-01-02T06:00,146.7,143.4,1419.0,19.6,30.4,5.0,0.00
2025-01-02T07:00,150.4,146.7,1583.0,25.4,33.5,5.0,0.05
2025-01-02T08:00,151.8,148.1,1670.0,28.4,35.9,6.0,0.45
2025-01-02T09:00,152.7,149.5,1610.0,26.2,36.9,7.0,1.30
2025-01-02T10:00,143.9,139.2,1474.0,21.2,37.1,8.0,2.35
2025-01-02T11:00,134.6,129.5,1352.0,17.0,37.2,9.0,3.20
2025-01-02T12:00,123.9,118.5,1252.0,13.7,37.2,10.0,3.35
2025-01-02T13:00,112.9,107.1,1167.0,11.2,36.9,10.0,2.80
2025-01-02T14:00,105.7,100.4,1169.0,12.5,36.9,10.0,1.80
2025-01-02T15:00,102.4,97.8,1322.0,20.6,36.9,9.0,0.85
2025-01-02T16:00,104.3,100.8,1562.0,32.6,37.1,7.0,0.20
2025-01-02T17:00,136.4,131.3,1764.0,50.7,39.7,9.0,0.00
2025-01-02T18:00,148.5,144.4,1885.0,55.9,43.1,9.0,0.00
2025-01-02T19:00,159.7,155.5,1968.0,63.1,47.8,8.0,0.00
2025-01-02T20:00,173.2,169.0,2018.0,68.0,51.7,8.0,0.00
2025-01-02T21:00,187.2,182.5,2031.0,68.9,54.8,8.0,0.00
2025-01-02T22:00,198.8,194.6,2011.0,67.6,57.1,7.0,0.00
2025-01-02T23:00,200.2,196.5,1980.0,64.7,56.7,7.0,0.00
2025-01-03T00:00,192.8,189.1,1945.0,60.1,51.6,7.0,0.00
2025-01-03T01:00,186.3,182.5,1899.0,53.9,43.8,6.0,0.00
2025-01-03T02:00,180.2,176.5,1841.0,47.6,37.4,6.0,0.00
2025-01-03T03:00,175.1,171.4,1738.0,40.4,33.6,6.0,0.00
2025-01-03T04:00,170.9,167.2,1624.0,33.1,31.1,6.0,0.00
2025-01-03T05:00,171.8,168.1,1600.0,29.7,32.6,7.0,0.00
2025-01-03T06:00,167.2,163.0,1756.0,34.2,36.0,7.0,0.00
2025-01-03T07:00,171.8,167.6,2002.0,40.1,40.7,7.0,0.05
2025-01-03T08:00,175.6,171.4,2165.0,43.0,43.8,7.0,0.45
2025-01-03T09:00,172.3,168.6,2170.0,40.3,43.7,8.0,1.25
2025-01-03T10:00,163.0,157.9,2093.0,34.5,41.9,10.0,2.30
2025-01-03T11:00,143.9,136.4,1985.0,29.1,40.3,13.0,3.15
2025-01-03T12:00,121.5,111.5,1802.0,23.3,39.1,17.0,3.40
2025-01-03T13:00,106.4,94.3,1588.0,17.9,38.1,21.0,2.95
2025-01-03T14:00,96.4,83.4,1528.0,18.5,37.7,24.0,2.00
2025-01-03T15:00,91.7,79.4,1776.0,29.9,37.8,23.0,1.00
2025-01-03T16:00,95.2,85.7,2178.0,47.4,38.6,20.0,0.25
2025-01-03T17:00,151.3,133.2,2462.0,83.7,51.1,33.0,0.00
2025-01-03T18:00,177.4,160.2,2499.0,89.8,58.0,32.0,0.00
2025-01-03T19:00,198.4,181.6,2417.0,98.1,67.5,31.0,0.00
2025-01-03T20:00,213.7,197.0,2333.0,103.3,75.0,30.0,0.00
2025-01-03T21:00,228.2,211.4,2280.0,103.6,79.5,30.0,0.00
2025-01-03T22:00,241.2,225.4,2225.0,100.8,81.9,29.0,0.00
2025-01-03T23:00,244.0,228.2,2182.0,95.7,80.0,29.0,0.00
2025-01-04T00:00,229.1,213.7,2173.0,87.2,70.8,28.0,0.00
2025-01-04T01:00,212.8,197.4,2177.0,76.3,57.3,27.0,0.00
2025-01-04T02:00,198.8,184.4,2142.0,66.9,46.2,26.0,0.00
2025-01-04T03:00,188.1,174.6,1994.0,59.5,38.7,26.0,0.00
2025-01-04T04:00,183.5,169.5,1808.0,53.5,33.6,26.0,0.00
2025-01-04T05:00,187.2,172.3,1760.0,53.3,36.1,26.0,0.00
2025-01-04T06:00,195.6,178.8,1976.0,55.7,46.0,27.0,0.00
2025-01-04T07:00,218.4,199.8,2331.0,58.8,59.3,28.0,0.05
2025-01-04T08:00,227.7,211.9,2624.0,60.1,67.6,28.0,0.50
2025-01-04T09:00,206.3,194.6,2807.0,58.5,65.3,26.0,1.45
2025-01-04T10:00,188.6,178.3,2927.0,55.0,57.8,22.0,2.70
2025-01-04T11:00,143.0,133.2,2929.0,50.5,53.0,18.0,3.65
2025-01-04T12:00,104.1,97.3,2703.0,41.5,54.1,13.0,3.90
2025-01-04T13:00,81.5,77.3,2359.0,31.5,58.0,9.0,3.35
2025-01-04T14:00,71.5,68.7,2168.0,31.8,62.5,5.0,2.20
2025-01-04T15:00,69.2,67.1,2297.0,51.2,67.6,3.0,1.05
2025-01-04T16:00,84.3,82.7,2578.0,80.9,73.4,3.0,0.25
2025-01-04T17:00,176.5,167.2,2784.0,110.1,85.0,17.0,0.00
2025-01-04T18:00,210.0,201.6,2832.0,122.8,88.2,16.0,0.00
2025-01-04T19:00,226.8,218.9,2805.0,139.6,92.2,14.0,0.00
2025-01-04T20:00,225.4,218.4,2716.0,146.4,92.0,13.0,0.00
2025-01-04T21:00,212.3,205.8,2542.0,134.6,84.2,12.0,0.00
2025-01-04T22:00,201.6,195.1,2307.0,112.8,72.3,11.0,0.00
2025-01-04T23:00,193.2,187.2,2101.0,92.6,61.9,11.0,0.00
2025-01-05T00:00,185.3,179.7,1956.0,77.6,55.0,11.0,0.00
2025-01-05T01:00,182.5,176.5,1841.0,64.3,49.7,11.0,0.00
2025-01-05T02:00,184.9,178.3,1752.0,53.5,45.8,12.0,0.00
2025-01-05T03:00,188.1,181.1,1691.0,45.4,43.5,13.0,0.00
2025-01-05T04:00,189.5,182.5,1656.0,39.8,42.6,14.0,0.00
2025-01-05T05:00,229.1,221.2,1642.0,60.1,45.8,14.0,0.00
2025-01-05T06:00,211.9,204.4,1665.0,58.2,46.8,12.0,0.00
2025-01-05T07:00,210.0,204.4,1708.0,55.2,48.1,10.0,0.05
2025-01-05T08:00,205.4,200.7,1716.0,50.9,49.2,9.0,0.35
2025-01-05T09:00,193.2,187.7,1653.0,44.4,49.7,10.0,1.10
2025-01-05T10:00,184.9,178.8,1556.0,36.5,50.1,12.0,2.30
2025-01-05T11:00,168.1,160.7,1479.0,29.7,50.6,14.0,3.25
2025-01-05T12:00,144.8,136.9,1434.0,23.4,51.9,15.0,3.55
2025-01-05T13:00,128.5,120.6,1409.0,18.2,53.3,15.0,3.05
2025-01-05T14:00,122.0,114.6,1422.0,17.8,54.0,14.0,2.00
2025-01-05T15:00,119.0,112.2,1505.0,26.4,53.3,12.0,0.95
2025-01-05T16:00,120.6,115.3,1626.0,39.8,51.8,10.0,0.25
2025-01-05T17:00,120.1,116.2,1713.0,44.5,48.1,7.0,0.00
2025-01-05T18:00,133.2,129.9,1734.0,46.9,47.6,7.0,0.00
2025-01-05T19:00,138.3,135.0,1721.0,50.0,46.8,6.0,0.00
2025-01-05T20:00,140.2,137.4,1697.0,51.1,46.0,6.0,0.00
2025-01-05T21:00,141.1,138.3,1664.0,48.6,45.2,6.0,0.00
2025-01-05T22:00,143.9,141.1,1619.0,44.1,44.4,5.0,0.00
2025-01-05T23:00,146.7,143.9,1580.0,39.5,43.3,5.0,0.00
2025-01-06T00:00,145.3,142.5,1559.0,34.9,41.5,5.0,0.00
2025-01-06T01:00,145.3,143.0,1544.0,30.2,39.5,4.0,0.00
2025-01-06T02:00,146.2,143.9,1516.0,27.3,38.5,4.0,0.00
2025-01-06T03:00,146.7,144.8,1445.0,26.8,39.1,4.0,0.00
2025-01-06T04:00,151.8,149.9,1361.0,28.0,40.8,4.0,0.00
2025-01-06T05:00,143.4,142.0,1342.0,22.3,34.6,2.0,0.00
2025-01-06T06:00,146.7,145.3,1474.0,28.3,38.2,2.0,0.00
2025-01-06T07:00,154.6,153.7,1670.0,36.4,43.2,2.0,0.05
2025-01-06T08:00,157.4,156.5,1747.0,41.3,47.5,2.0,0.25
2025-01-06T09:00,154.1,152.7,1586.0,40.1,49.9,3.0,0.65
2025-01-06T10:00,145.3,143.9,1306.0,35.7,51.6,4.0,1.30
2025-01-06T11:00,126.7,123.9,1078.0,31.7,53.9,5.0,2.15
2025-01-06T12:00,121.1,117.6,962.0,27.9,57.9,6.0,2.50
2025-01-06T13:00,113.4,109.7,898.0,24.5,62.5,7.0,2.30
2025-01-06T14:00,106.6,102.4,879.0,25.7,65.3,7.0,1.65
2025-01-06T15:00,103.1,99.2,915.0,36.1,65.0,7.0,0.80
2025-01-06T16:00,104.8,101.3,995.0,51.2,63.0,6.0,0.20
2025-01-06T17:00,157.4,152.7,1078.0,60.8,62.2,8.0,0.00
2025-01-06T18:00,167.6,163.9,1170.0,59.3,61.2,7.0,0.00
2025-01-06T19:00,168.1,164.8,1265.0,57.1,59.5,6.0,0.00
2025-01-06T20:00,166.7,163.4,1302.0,53.5,57.0,5.0,0.00
2025-01-06T21:00,163.4,160.7,1239.0,48.0,53.3,5.0,0.00
2025-01-06T22:00,161.1,158.8,1118.0,41.3,48.7,4.0,0.00
2025-01-06T23:00,154.6,152.3,1000.0,34.4,43.7,4.0,0.00
2025-01-07T00:00,143.4,141.6,895.0,27.3,37.6,4.0,0.00
2025-01-07T01:00,133.6,132.2,793.0,20.1,30.9,3.0,0.00
2025-01-07T02:00,127.1,125.7,722.0,14.6,26.3,3.0,0.00
2025-01-07T03:00,123.9,122.5,694.0,11.3,24.8,3.0,0.00
2025-01-07T04:00,122.5,121.1,697.0,9.6,25.3,2.0,0.00
2025-01-07T05:00,127.6,126.2,719.0,11.1,26.7,3.0,0.00
2025-01-07T06:00,126.2,124.8,774.0,15.5,27.8,3.0,0.00
2025-01-07T07:00,129.0,128.1,847.0,21.3,29.4,2.0,0.05
2025-01-07T08:00,130.9,129.9,889.0,24.4,30.7,2.0,0.30
2025-01-07T09:00,124.8,123.4,873.0,22.1,31.7,2.0,0.90
2025-01-07T10:00,112.5,111.3,825.0,17.0,32.5,2.0,1.95
2025-01-07T11:00,103.6,102.4,768.0,12.9,32.8,2.0,3.00
2025-01-07T12:00,96.4,95.2,688.0,10.5,32.4,2.0,3.35
2025-01-07T13:00,90.6,89.4,598.0,9.0,31.5,2.0,2.90
2025-01-07T14:00,84.8,83.8,562.0,9.8,30.6,2.0,1.95
2025-01-07T15:00,81.7,80.8,624.0,14.7,29.8,2.0,0.95
2025-01-07T16:00,81.0,80.3,740.0,22.0,29.1,1.0,0.25
2025-01-07T17:00,87.5,86.8,836.0,36.7,30.6,1.0,0.00
2025-01-07T18:00,98.0,97.3,889.0,38.5,31.7,1.0,0.00
2025-01-07T19:00,104.5,103.8,923.0,40.8,33.1,1.0,0.00
2025-01-07T20:00,108.3,107.6,932.0,40.8,33.7,1.0,0.00
2025-01-07T21:00,109.2,108.3,907.0,36.9,32.8,1.0,0.00
2025-01-07T22:00,108.7,107.8,857.0,30.7,31.1,2.0,0.00
2025-01-07T23:00,105.2,104.1,804.0,25.0,29.1,2.0,0.00
2025-01-08T00:00,98.0,96.9,745.0,20.5,26.8,2.0,0.00
2025-01-08T01:00,91.7,90.1,682.0,16.4,24.3,3.0,0.00
2025-01-08T02:00,85.9,84.3,643.0,13.4,22.4,3.0,0.00
2025-01-08T03:00,81.3,79.6,632.0,11.4,21.2,3.0,0.00
2025-01-08T04:00,77.8,76.1,646.0,10.5,20.5,3.0,0.00
2025-01-08T05:00,78.2,76.6,702.0,12.4,21.5,3.0,0.00
2025-01-08T06:00,76.1,74.7,843.0,17.7,23.2,3.0,0.00
2025-01-08T07:00,79.9,78.5,1025.0,24.9,25.6,2.0,0.05
2025-01-08T08:00,82.0,81.0,1137.0,28.7,27.5,2.0,0.50
2025-01-08T09:00,81.3,80.3,1121.0,26.1,28.3,2.0,1.45
2025-01-08T10:00,75.0,74.0,1034.0,20.1,28.6,1.0,2.70
2025-01-08T11:00,65.2,64.5,937.0,15.1,28.5,1.0,3.75
2025-01-08T12:00,53.4,53.0,819.0,11.6,27.9,1.0,4.05
2025-01-08T13:00,42.7,42.4,692.0,9.0,26.9,0.0,3.50
2025-01-08T14:00,35.6,35.4,647.0,9.8,26.3,0.0,2.35
2025-01-08T15:00,32.0,31.9,751.0,15.9,26.2,0.0,1.15
2025-01-08T16:00,32.4,32.2,938.0,25.4,26.4,0.0,0.30
2025-01-08T17:00,60.1,59.6,1105.0,42.1,30.8,1.0,0.00
2025-01-08T18:00,71.5,71.0,1216.0,49.8,33.5,1.0,0.00
2025-01-08T19:00,78.5,78.0,1306.0,60.4,37.3,0.0,0.00
2025-01-08T20:00,84.3,82.7,1379.0,67.9,40.7,0.0,0.00
2025-01-08T21:00,90.1,87.3,1436.0,69.6,43.7,0.0,0.00
2025-01-08T22:00,98.7,95.0,1476.0,68.2,46.3,0.0,0.00
2025-01-08T23:00,105.0,101.0,1495.0,66.1,47.2,0.0,0.00
2025-01-09T00:00,106.9,102.7,1487.0,63.6,45.0,0.0,0.00
2025-01-09T01:00,109.2,105.0,1459.0,60.3,41.0,0.0,0.00
2025-01-09T02:00,111.3,106.9,1430.0,57.2,37.8,0.0,0.00
2025-01-09T03:00,113.4,109.0,1332.0,54.3,35.5,0.0,0.00
2025-01-09T04:00,114.8,110.4,1233.0,51.6,34.0,0.0,0.00
2025-01-09T05:00,127.1,122.0,1355.0,58.3,49.0,0.0,0.00
2025-01-09T06:00,122.5,117.8,1980.0,59.8,55.6,0.0,0.00
2025-01-09T07:00,137.4,132.7,2828.0,61.4,64.5,0.0,0.05
2025-01-09T08:00,160.2,156.5,3275.0,59.7,69.2,0.0,0.50
2025-01-09T09:00,139.2,135.5,2937.0,51.8,65.4,0.0,1.50
2025-01-09T10:00,105.5,102.4,2199.0,40.6,57.5,1.0,2.70
2025-01-09T11:00,94.5,94.1,1598.0,31.2,52.1,1.0,3.65
2025-01-09T12:00,82.4,82.2,1289.0,23.1,51.9,1.0,3.85
2025-01-09T13:00,70.3,69.8,1118.0,16.8,54.2,1.0,3.30
2025-01-09T14:00,62.6,62.2,1156.0,19.5,57.1,1.0,2.25
2025-01-09T15:00,58.7,58.3,1488.0,37.1,58.7,1.0,1.10
2025-01-09T16:00,64.0,63.8,2030.0,63.5,61.0,1.0,0.30
2025-01-09T17:00,199.8,198.4,2601.0,116.2,85.5,2.0,0.00
2025-01-09T18:00,240.3,238.4,3258.0,134.0,107.9,2.0,0.00
2025-01-09T19:00,285.0,283.1,3945.0,158.3,138.9,2.0,0.00
2025-01-09T20:00,326.0,324.1,4314.0,175.6,163.5,2.0,0.00
2025-01-09T21:00,356.7,354.8,4138.0,180.2,177.9,2.0,0.00
2025-01-09T22:00,374.4,369.7,3643.0,177.8,185.8,2.0,0.00
2025-01-09T23:00,369.7,365.1,3166.0,171.1,183.1,2.0,0.00
2025-01-10T00:00,352.0,348.3,2778.0,159.2,163.0,2.0,0.00
2025-01-10T01:00,339.0,334.3,2407.0,143.0,132.3,2.0,0.00
2025-01-10T02:00,327.8,324.1,2171.0,128.7,107.3,2.0,0.00
2025-01-10T03:00,319.4,314.8,2147.0,118.3,94.1,2.0,0.00
2025-01-10T04:00,313.9,310.1,2258.0,109.7,86.6,2.0,0.00
2025-01-10T05:00,308.3,307.3,2391.0,90.4,54.2,2.0,0.00
2025-01-10T06:00,293.4,292.4,2560.0,87.1,56.3,2.0,0.00
2025-01-10T07:00,273.8,272.9,2753.0,82.1,59.3,1.0,0.05
2025-01-10T08:00,276.6,275.7,2815.0,75.7,61.5,1.0,0.35
2025-01-10T09:00,270.1,269.2,2657.0,67.1,61.1,1.0,1.00
2025-01-10T10:00,244.9,244.0,2369.0,57.0,60.0,2.0,2.10
2025-01-10T11:00,218.9,217.5,2071.0,47.7,62.4,2.0,3.00
2025-01-10T12:00,187.7,185.8,1750.0,37.4,72.2,3.0,3.25
2025-01-10T13:00,156.0,153.7,1420.0,28.0,85.6,4.0,2.75
2025-01-10T14:00,135.5,133.6,1242.0,27.3,95.2,4.0,1.85
2025-01-10T15:00,127.1,124.8,1328.0,42.2,97.7,4.0,0.90
2025-01-10T16:00,141.1,139.2,1565.0,65.7,96.4,3.0,0.25
2025-01-10T17:00,235.6,231.9,1778.0,86.3,84.5,6.0,0.00
2025-01-10T18:00,265.4,262.6,1931.0,95.8,85.4,5.0,0.00
2025-01-10T19:00,285.0,282.2,2061.0,108.4,86.3,5.0,0.00
2025-01-10T20:00,296.2,293.4,2099.0,114.6,84.9,4.0,0.00
2025-01-10T21:00,295.2,293.4,1990.0,109.6,79.8,4.0,0.00
2025-01-10T22:00,284.1,282.2,1790.0,98.3,72.5,3.0,0.00
2025-01-10T23:00,270.1,268.2,1598.0,85.1,64.8,3.0,0.00
2025-01-11T00:00,253.3,251.5,1438.0,70.0,56.7,3.0,0.00
2025-01-11T01:00,240.3,238.4,1286.0,53.2,48.4,3.0,0.00
2025-01-11T02:00,233.3,231.4,1166.0,39.5,41.8,3.0,0.00
2025-01-11T03:00,226.8,225.4,1084.0,30.5,37.7,3.0,0.00
2025-01-11T04:00,219.8,217.9,1035.0,24.6,35.4,3.0,0.00
2025-01-11T05:00,214.7,213.3,1026.0,22.6,29.6,2.0,0.00
2025-01-11T06:00,194.6,193.7,1091.0,27.4,32.4,2.0,0.00
2025-01-11T07:00,184.9,183.5,1196.0,33.9,36.5,2.0,0.05
2025-01-11T08:00,173.2,172.3,1248.0,37.4,40.3,2.0,0.25
2025-01-11T09:00,155.5,154.1,1189.0,34.6,43.3,2.0,0.80
2025-01-11T10:00,137.4,136.0,1077.0,28.7,46.1,3.0,1.40
2025-01-11T11:00,131.3,129.5,996.0,25.0,49.3,3.0,1.50
2025-01-11T12:00,127.1,125.3,957.0,25.2,54.0,4.0,0.95
2025-01-11T13:00,129.9,127.1,948.0,27.5,59.2,4.0,0.70
2025-01-11T14:00,131.8,129.0,1018.0,31.8,62.4,5.0,0.80
2025-01-11T15:00,128.1,124.3,1264.0,40.2,62.3,5.0,0.35
2025-01-11T16:00,133.2,129.9,1589.0,50.6,60.3,6.0,0.05
2025-01-11T17:00,144.4,139.7,1746.0,70.4,58.5,9.0,0.00
2025-01-11T18:00,118.3,113.4,1574.0,64.1,51.4,8.0,0.00
2025-01-11T19:00,115.0,111.1,1236.0,55.2,41.5,8.0,0.00
2025-01-11T20:00,105.5,101.5,969.0,47.5,33.7,7.0,0.00
2025-01-11T21:00,100.6,97.1,885.0,42.9,30.4,7.0,0.00
2025-01-11T22:00,99.0,95.7,873.0,39.4,29.3,6.0,0.00
2025-01-11T23:00,93.6,90.1,840.0,35.2,27.8,6.0,0.00
2025-01-12T00:00,83.8,80.1,727.0,28.7,24.6,6.0,0.00
2025-01-12T01:00,75.9,72.2,592.0,21.4,21.2,6.0,0.00
2025-01-12T02:00,71.0,67.5,519.0,16.1,19.3,6.0,0.00
2025-01-12T03:00,69.4,66.1,507.0,13.6,20.1,6.0,0.00
2025-01-12T04:00,71.7,68.7,557.0,13.1,22.5,5.0,0.00
2025-01-12T05:00,71.5,69.2,753.0,16.8,25.3,4.0,0.00
2025-01-12T06:00,71.2,69.2,1286.0,27.1,30.7,4.0,0.00
2025-01-12T07:00,80.8,78.5,1965.0,40.9,38.0,4.0,0.00
2025-01-12T08:00,94.1,92.2,2308.0,49.1,43.0,4.0,0.20
2025-01-12T09:00,91.5,89.4,1990.0,46.1,43.0,4.0,0.60
2025-01-12T10:00,85.2,82.9,1335.0,37.4,40.7,4.0,0.95
2025-01-12T11:00,81.5,79.2,834.0,30.0,39.6,4.0,1.30
2025-01-12T12:00,77.5,74.7,685.0,24.3,41.4,4.0,1.90
